CODUSU;nro_hogar;realizada;ano4;trimestre;region;mas_500;aglomerado;pondera;iv1;iv1_esp;iv2;iv3;iv3_esp;iv4;iv5;iv6;iv7;iv7_esp;iv8;iv9;iv10;iv11;iv12_1;iv12_2;iv12_3;ii1;ii2;ii3;ii3_1;ii4_1;ii4_2;ii4_3;ii5;ii5_1;ii6;ii6_1;ii7;ii7_esp;ii8;ii8_esp;ii9;v1;v2;v21;v22;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19_a;v19_b;ix_tot;ix_men10;ix_mayeq10;itf;decifr;idecifr;rdecifr;gdecifr;pdecifr;adecifr;ipcf;deccfr;ideccfr;rdeccfr;gdeccfr;pdeccfr;adeccfr;vii1_1;vii1_2;vii2_1;vii2_2;vii2_3;vii2_4;idimph
393495;1;1;2015;2;43;S;13;611;1; ;5;1; ;2;1;1;1; ;1;1;1;2;2;2;2;5;3;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;19000;9;9;9;8; ;9;6333,33;8;8;8;8; ;8;1;0;98;0;0;0;0
393496;1;1;2015;2;1;S;33;1147;1; ;3;1; ;2;1;1;2; ;1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2000;1; ;1;1; ;1;666,67;1; ;1;1; ;1;2;0;98;0;0;0;10000
393497;1;1;2015;2;44;N;9;154;1; ;2;1; ;1;1;1;1; ;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;21600;9;9;8; ;9;7;4320,00;6;6;4; ;7;3;2;3;98;0;0;0;0
393500;1;1;2015;2;43;S;2;620;1; ;2;1; ;1;1;1;1; ;1;1;1;1;2;2;2;1;1;2;0;1;1;1;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;5400;2;2;2;2; ;2;2700,00;4;4;3;4; ;3;1;2;98;0;0;0;0
393505;1;1;2015;2;40;S;29;363;1; ;3;3; ;4;2;2;1; ;1;2;2;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;6; ;2; ;3;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1200;1;1;1;1; ;1;300,00;1;1;1;1; ;1;8;0;98;0;0;0;0
393512;1;1;2015;2;1;S;33;1033;1; ;3;2; ;4;1;1;2; ;1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;6880;3; ;3;3; ;3;2293,33;3; ;3;3; ;3;1;0;2;0;0;0;0
393516;1;1;2015;2;41;N;8;335;1; ;2;1; ;4;1;1;1; ;1;1;1;2;2;2;2;2;2;2;0;1;2;1;2;0;2;0;4; ;2; ;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;6600;3;3;4; ;3;5;1650,00;2;2;3; ;2;3;2;0;98;0;0;0;0
393519;1;1;2015;2;40;S;23;201;1; ;2;2; ;2;1;2;1; ;1;2;3;4;2;2;2;1;1;2;0;2;2;2;0;0;0;0;1; ;2; ;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1500;1;1;1;1; ;1;750,00;1;1;1;1; ;1;1;0;97;0;0;0;0
393527;1;1;2015;2;43;N;38;84;1; ;3;1; ;1;1;1;1; ;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;3; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;17000;8;8;8; ;8;9;17000,00;10;10;10; ;10;10;1;0;98;0;0;0;0
393530;1;1;2015;2;40;N;18;283;1; ;3;1; ;1;1;1;1; ;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;5;1;4;28200;10;10;10; ;10;10;5640,00;7;8;9; ;8;9;96;0;98;0;0;0;0
393531;1;1;2015;2;44;N;91;104;1; ;3;1; ;2;1;1;1; ;1;1;1;2;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3; ;1; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;14800;7;7;5; ;8;7;4933,33;7;7;5; ;7;6;3;0;1;0;0;0;0
393538;1;1;2015;2;42;N;27;204;1; ;4;1; ;1;1;1;1; ;1;1;1;2;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;25000;10;10;10; ;10;10;12500,00;10;10;10; ;10;10;2;0;98;0;0;0;10010
393539;1;1;2015;2;43;N;38;91;1; ;3;2; ;2;1;1;1; ;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;13600;7;7;7; ;7;8;2720,00;4;4;3; ;4;4;2;0;1;4;0;0;10000
393541;1;1;2015;2;43;S;5;213;1; ;4;1; ;4;1;1;1; ;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;28000;10;10;10;10; ;10;7000,00;8;9;8;8; ;8;96;0;2;4;0;0;0
393542;1;1;2015;2;43;S;4;714;1; ;1;1; ;2;1;1;1; ;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;3700;1;1;1;1; ;1;3700,00;5;5;5;5; ;5;97;0;98;0;0;0;0
393543;1;1;2015;2;41;N;12;240;1; ;2;1; ;4;1;1;1; ;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1; ;2; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;14000;7;7;9; ;7;9;4666,67;7;7;8; ;7;9;2;0;1;0;0;0;0
393544;1;1;2015;2;1;S;33;2204;1; ;5;1; ;2;1;1;1; ;1;1;1;1;2;2;2;5;2;2;0;1;1;2;2;0;2;0;1; ;1; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;3;0;3;13100;7; ;7;7; ;7;4366,67;6; ;6;6; ;7;1;0;2;3;0;0;0
393548;1;1;2015;2;43;N;36;117;1; ;3;1; ;1;1;1;1; ;1;1;1;1;1;1;2;3;1;2;0;1;2;1;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;0;2;7000;3;4;4; ;4;4;3500,00;5;5;4; ;5;4;2;0;1;0;0;0;0
393550;1;1;2015;2;44;N;91;104;2; ;3;1; ;9;1;1;1; ;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;30000;10;10;9; ;10;10;30000,00;10;10;10; ;10;10;1;0;98;0;0;0;0
393556;1;1;2015;2;43;N;36;166;1; ;5;1; ;1;1;1;1; ;1;1;1;1;2;2;2;3;3;2;0;1;2;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;1;2;2;2;4;0;4;10000;5;6;6; ;6;6;2500,00;3;3;3; ;4;3;1;0;98;0;0;0;0
